Applicant_ID,Applicant_Age,Gender,Marital_Status,Dependents,Education_Level,Employment_Status,Annual_Income_Lakhs,Credit_Score,Loan_Amount_Lakhs,Loan_Term_Years,Interest_Rate_Percent,Down_Payment_Percent,Loan_Type,Property_Location,Property_Value_Lakhs,Property_Type,Existing_Loans_Amount,EMI_Affordability_Percent,Prior_Relationship_Years,Loan_Approval_Status,Application_Date
34,37,Male,Married,4,Graduate,Salaried,12.04,342,39.82,20,8.92,16.5,Construction,Rural,67.48,Apartment,44.84,26.33,17,Approved,25-10-2020
35,38,Female,Single,4,Graduate,Salaried,27.65,823,34.92,15,7.08,13.25,Construction,Urban,54.92,Plot,31.4,8.68,10,Rejected,03-12-2018
36,46,Male,Widowed,0,Postgraduate,Salaried,49.34,602,58.72,15,9.92,18.28,Refinance,Urban,46.83,Plot,12.62,37.1,14,Rejected,07-08-2024
37,38,Female,Married,2,Postgraduate,Unemployed,7.03,784,31.43,10,10.28,7.23,Refinance,Urban,270.44,Apartment,33.96,40.51,12,Approved,25-03-2024
38,42,Female,Divorced,0,Doctorate,Unemployed,20.18,817,135.45,15,7.6,17.46,Refinance,Urban,282.1,Apartment,5.09,11.88,15,Approved,25-07-2024
39,51,Other,Single,2,Postgraduate,Unemployed,21.7,847,149.6,15,9.09,27.93,Construction,Semi-Urban,293.27,Independent House,8.54,35.09,1,Approved,16-11-2021
40,46,Other,Single,3,High School,Self-Employed,48.46,524,111.76,25,7.02,20.27,Refinance,Urban,166.65,Plot,24.06,28.97,0,Approved,02-08-2023
41,30,Male,Divorced,1,Doctorate,Self-Employed,17.47,620,25.13,10,9.92,19.89,Refinance,Rural,244.46,Plot,46.48,42.38,11,Approved,24-03-2023
42,31,Male,Married,3,Postgraduate,Unemployed,46.47,619,88.3,30,7.13,24.88,Refinance,Semi-Urban,252.79,Apartment,40.73,34.93,3,Approved,01-12-2020
43,45,Female,Widowed,2,High School,Self-Employed,27.91,442,88.74,10,10.55,14.6,Refinance,Urban,274.75,Plot,27.14,24.42,2,Approved,14-02-2025
44,35,Other,Single,0,Doctorate,Self-Employed,44.91,719,149.67,10,7.9,11.21,Construction,Urban,39.05,Independent House,35.7,27.23,9,Approved,24-10-2025
45,33,Other,Divorced,3,High School,Unemployed,40.27,560,75.52,25,9.75,23,Construction,Rural,217.37,Independent House,12.59,20.56,10,Rejected,10-02-2025
46,26,Other,Divorced,1,Graduate,Unemployed,9.36,440,25.17,15,9.25,5.45,Construction,Urban,279.07,Plot,7.63,30.93,8,Approved,27-09-2025
47,43,Male,Married,4,High School,Self-Employed,42.27,481,126.44,10,10.41,17.97,Construction,Urban,132.41,Apartment,16.76,41.13,8,Approved,10-04-2024
48,45,Female,Divorced,1,Postgraduate,Self-Employed,25.08,646,70.57,20,6.65,27.82,Refinance,Urban,164.56,Independent House,1.69,19.02,10,Approved,13-01-2024
49,41,Male,Divorced,0,Doctorate,Salaried,9.14,641,17.38,30,7.33,12.49,Home Purchase,Semi-Urban,232.49,Plot,39.99,20.72,16,Approved,13-10-2018
50,36,Other,Married,0,Graduate,Unemployed,23.76,493,82.5,10,8.3,18.99,Construction,Urban,120.28,Plot,47.31,21.8,9,Rejected,19-01-2024
51,53,Other,Divorced,3,Doctorate,Self-Employed,43.62,307,8.93,20,7.54,21.8,Home Purchase,Semi-Urban,121.6,Apartment,8.93,34.37,14,Rejected,14-11-2023
52,44,Female,Widowed,2,Doctorate,Salaried,8.77,306,96.82,10,7.44,5.66,Home Purchase,Rural,187.42,Independent House,44.63,41.78,19,Approved,10-11-2021
53,23,Other,Divorced,3,Doctorate,Salaried,18.57,555,85.05,15,10.37,10.49,Refinance,Semi-Urban,240.53,Apartment,43.42,26.93,13,Approved,06-01-2020
54,37,Female,Divorced,0,Graduate,Salaried,28,536,63.37,10,7.13,25.87,Refinance,Semi-Urban,273.15,Independent House,13.62,5.83,17,Approved,21-09-2023
55,56,Male,Married,1,High School,Salaried,33.27,677,109.43,30,6.55,8.42,Home Purchase,Rural,265.95,Independent House,30.03,34.93,6,Approved,03-12-2019
56,22,Female,Divorced,0,Postgraduate,Salaried,30.95,328,61.45,20,8.1,22.98,Construction,Rural,286.31,Plot,33.18,47.16,4,Approved,21-11-2022
57,56,Other,Widowed,2,Postgraduate,Unemployed,42.63,806,91.54,15,9.3,16.86,Home Purchase,Urban,124.92,Apartment,24.77,35.98,9,Approved,11-05-2018
58,57,Other,Married,1,Doctorate,Unemployed,17.1,316,142.78,10,7.33,18.55,Construction,Rural,247.77,Plot,36.21,33.68,7,Approved,17-01-2021
59,32,Other,Divorced,1,High School,Salaried,34.16,587,107.31,10,7.31,19.2,Refinance,Rural,39.17,Apartment,36.55,13.67,7,Rejected,28-12-2019
60,49,Female,Divorced,3,Postgraduate,Unemployed,17.32,789,98.46,20,9.02,17.03,Construction,Urban,173.17,Independent House,36.24,7.94,14,Rejected,04-10-2021
61,42,Male,Single,1,High School,Salaried,31.56,749,8.54,15,10.96,5.01,Home Purchase,Urban,133.67,Plot,3.5,5.43,16,Approved,02-09-2018
62,64,Male,Widowed,3,Postgraduate,Salaried,38.88,658,80.77,10,7.57,7.76,Refinance,Semi-Urban,260.26,Independent House,11.68,6.89,0,Rejected,22-06-2023
63,29,Other,Single,0,Doctorate,Unemployed,47.6,360,42.55,25,8.38,26.98,Refinance,Rural,274.01,Independent House,8.35,49.6,7,Rejected,26-08-2021
64,30,Other,Married,0,Graduate,Salaried,10.95,558,124.8,30,6.76,29.23,Home Purchase,Urban,280.49,Independent House,26.25,16.71,2,Rejected,11-10-2023
65,37,Other,Widowed,2,Graduate,Salaried,12.74,388,90.98,30,6.91,26.94,Construction,Rural,64.97,Apartment,2.22,43.35,9,Rejected,09-02-2018
66,45,Male,Divorced,2,Graduate,Unemployed,2.24,550,109.9,15,8.9,29.05,Home Purchase,Urban,297.7,Independent House,24.76,26.63,18,Rejected,11-05-2022
67,60,Female,Widowed,2,High School,Salaried,37.23,515,120.63,25,10.33,26.68,Home Purchase,Urban,255.99,Apartment,46.5,9.76,5,Approved,21-12-2023
68,63,Male,Married,0,Postgraduate,Unemployed,41.64,693,123.89,30,9.85,9.02,Refinance,Semi-Urban,234.29,Plot,9.66,8.78,16,Approved,26-12-2018
69,51,Female,Widowed,4,Postgraduate,Self-Employed,15.6,754,83.48,15,8.04,20.82,Refinance,Urban,57.68,Independent House,47.36,12.49,11,Approved,04-06-2020
70,21,Female,Married,2,Graduate,Self-Employed,49.53,584,69.66,20,7.09,23.96,Construction,Urban,35.97,Independent House,18.59,41.85,10,Approved,24-12-2021
71,54,Male,Widowed,0,Postgraduate,Salaried,43,570,120.25,30,7.84,26,Construction,Semi-Urban,92.11,Plot,13.66,47.79,11,Approved,15-09-2020
72,41,Other,Widowed,4,Postgraduate,Self-Employed,38.48,752,147.68,10,7.94,23.11,Refinance,Urban,84.1,Apartment,32.58,21.58,14,Approved,27-05-2022
73,45,Male,Single,4,Doctorate,Unemployed,23.78,498,95.8,25,6.65,28.02,Construction,Semi-Urban,154.77,Independent House,5.87,10.63,11,Approved,05-06-2019
74,58,Male,Widowed,4,High School,Self-Employed,40.28,694,147.73,10,6.55,6.81,Refinance,Semi-Urban,293.17,Independent House,14.58,36.27,0,Rejected,16-11-2021
75,31,Female,Divorced,0,High School,Salaried,29.4,762,77.34,25,9.66,18.99,Refinance,Urban,169.78,Apartment,44.13,8.71,12,Approved,06-07-2020
76,59,Female,Married,1,Graduate,Self-Employed,40.43,405,29.28,10,10.78,8.11,Construction,Semi-Urban,190.59,Apartment,2.6,29.36,17,Rejected,10-09-2022
77,48,Female,Widowed,2,Postgraduate,Unemployed,33.72,507,84.4,15,10.03,17.02,Construction,Urban,74.28,Independent House,4.08,7.72,11,Approved,17-08-2021
78,39,Other,Married,3,High School,Salaried,39.91,587,77.24,15,6.59,21.33,Home Purchase,Urban,163.18,Independent House,20.16,14.93,14,Approved,17-09-2021
79,50,Male,Divorced,1,High School,Salaried,18.6,663,116.32,25,6.68,26.68,Home Purchase,Semi-Urban,225.82,Independent House,29.89,40.68,6,Approved,26-10-2021
80,32,Other,Single,1,Doctorate,Salaried,37.19,819,63.77,15,7.57,29.28,Construction,Urban,260.68,Apartment,21.86,9.38,14,Approved,28-03-2024
81,45,Female,Divorced,0,Postgraduate,Salaried,48.53,365,129.41,30,7.96,24.34,Home Purchase,Rural,152.52,Plot,44.19,24.89,15,Approved,07-12-2022
82,32,Female,Single,0,High School,Unemployed,47.53,612,29.22,25,8.21,20.14,Construction,Urban,174.05,Apartment,42.21,41.26,14,Rejected,12-09-2019
83,40,Female,Married,1,High School,Unemployed,13.09,581,10.7,20,8.53,28.35,Home Purchase,Urban,166.95,Independent House,34.41,22.88,17,Rejected,06-05-2018
84,54,Male,Married,4,High School,Unemployed,23.83,794,80.65,25,8.9,8.14,Refinance,Urban,68.76,Independent House,10.09,35.3,17,Approved,11-10-2020
85,28,Male,Widowed,4,Postgraduate,Self-Employed,14.25,492,126.53,15,8.18,5.44,Refinance,Urban,254.34,Plot,28.53,6.37,7,Rejected,11-06-2023
86,53,Male,Divorced,4,Doctorate,Salaried,29.7,519,28.1,10,10.4,29.83,Home Purchase,Urban,54.43,Plot,36.92,44.53,5,Approved,26-06-2022
87,39,Female,Married,1,High School,Salaried,17.23,664,123.59,10,7.98,20.76,Refinance,Rural,182.13,Plot,19.43,25.19,16,Approved,27-05-2024
88,64,Female,Married,2,Postgraduate,Self-Employed,32.84,302,83.64,15,8.66,5.64,Refinance,Urban,132.65,Independent House,26.33,16.07,3,Approved,01-08-2020
89,43,Female,Married,1,Doctorate,Unemployed,27.02,320,33.39,30,10.54,11.09,Construction,Rural,46.27,Apartment,23.96,13.76,13,Approved,08-01-2019
90,47,Male,Divorced,3,Postgraduate,Self-Employed,31.3,301,44.53,25,10.2,18.06,Construction,Rural,262.04,Plot,26.26,36.91,16,Approved,03-06-2024
91,56,Female,Divorced,0,Doctorate,Salaried,32.39,440,92.23,30,10.48,10.7,Home Purchase,Rural,194.96,Independent House,18.04,45.77,15,Approved,08-05-2020
92,57,Female,Widowed,2,Doctorate,Unemployed,34.04,445,116.17,15,8.53,19.67,Construction,Urban,228.96,Independent House,23.64,29.09,15,Approved,02-10-2024
93,48,Other,Widowed,2,Graduate,Salaried,20.76,808,13.48,10,10.95,8.41,Home Purchase,Semi-Urban,139.17,Independent House,22.29,37.6,10,Rejected,01-12-2019
94,39,Female,Married,1,Doctorate,Unemployed,39.09,335,17.42,10,9.18,15.03,Home Purchase,Rural,122.76,Plot,3.47,28.36,1,Approved,11-10-2024
95,47,Male,Widowed,1,Postgraduate,Self-Employed,13.08,357,53.29,15,10.97,21.55,Home Purchase,Rural,227.28,Independent House,16.68,31.12,3,Rejected,23-05-2024
96,36,Female,Married,0,Postgraduate,Salaried,16.44,814,139.44,30,7.04,29.35,Refinance,Urban,229.04,Apartment,42.1,28.44,5,Approved,01-04-2019
97,59,Male,Single,3,Graduate,Self-Employed,5.03,780,37.97,30,8.12,7.19,Construction,Urban,179.53,Plot,41.26,17.59,3,Rejected,19-09-2018
98,55,Female,Divorced,3,High School,Self-Employed,26.06,341,83.26,30,8.21,26.95,Refinance,Semi-Urban,247.6,Plot,15.23,8.64,2,Approved,10-05-2018
99,55,Female,Married,3,Graduate,Self-Employed,41.48,552,129.99,25,9.23,8.48,Refinance,Semi-Urban,77.21,Plot,47.64,42.13,12,Approved,21-08-2020
100,45,Other,Widowed,4,Doctorate,Salaried,46.95,831,68.73,25,10.33,5.01,Construction,Semi-Urban,192.69,Plot,7.6,7.76,18,Approved,20-07-2024
101,22,Female,Divorced,1,High School,Unemployed,35.36,756,67.4,10,7.14,8.03,Refinance,Semi-Urban,57.28,Apartment,25.47,49.85,16,Approved,04-11-2021
102,49,Female,Divorced,1,Postgraduate,Salaried,44.56,782,58.33,25,8.67,9.42,Home Purchase,Semi-Urban,290.23,Plot,20.81,26.66,5,Approved,21-05-2025
103,43,Female,Widowed,4,High School,Salaried,2.58,541,96.25,30,10.11,28.99,Home Purchase,Rural,101.78,Plot,22.72,43,3,Rejected,16-09-2019
104,38,Other,Single,4,Doctorate,Salaried,24.05,320,143.65,10,10.8,24.67,Home Purchase,Urban,215.8,Apartment,13.97,46.86,7,Approved,16-12-2019
105,54,Other,Married,0,Postgraduate,Salaried,5.2,472,26.77,25,8.8,22.01,Home Purchase,Urban,231.48,Apartment,3.6,8.21,16,Rejected,13-05-2024
106,60,Female,Divorced,3,Postgraduate,Unemployed,47.23,798,31.85,20,8.35,18.74,Refinance,Semi-Urban,35.66,Apartment,14.77,39.62,8,Approved,20-08-2020
107,56,Female,Widowed,0,High School,Salaried,27.45,489,134.89,15,10.09,12.32,Refinance,Semi-Urban,161.22,Plot,26.04,32.74,1,Approved,22-02-2020
108,37,Female,Divorced,0,High School,Unemployed,28.4,713,139.61,25,7.39,27.17,Home Purchase,Rural,211.29,Independent House,43.07,43.09,8,Approved,06-01-2024
109,33,Female,Single,3,Doctorate,Unemployed,17.36,534,44.05,25,6.69,9.12,Home Purchase,Urban,226.01,Plot,48.26,26.98,11,Rejected,04-10-2024
110,53,Other,Divorced,2,Postgraduate,Salaried,6.5,407,97.26,30,7.22,16.54,Home Purchase,Urban,267.99,Plot,20.07,41,10,Approved,29-11-2021
111,59,Other,Divorced,1,High School,Salaried,27.86,533,115.34,25,9.86,10.06,Refinance,Urban,129.34,Plot,37.81,42.89,5,Rejected,29-01-2021
112,24,Other,Single,3,Doctorate,Self-Employed,44.54,526,24.98,30,6.51,9.46,Refinance,Semi-Urban,75.06,Apartment,19.38,23.1,6,Approved,10-06-2019
113,23,Male,Widowed,1,Postgraduate,Self-Employed,25.36,458,8.33,20,8.74,6.93,Refinance,Urban,231.4,Independent House,35.38,40.49,18,Approved,10-01-2020
114,50,Other,Single,0,Graduate,Unemployed,12.59,775,111.67,20,9.8,12.49,Home Purchase,Urban,202.14,Plot,5.92,23.45,13,Rejected,25-12-2023
115,46,Male,Single,3,High School,Self-Employed,18.06,553,90.04,10,10.68,24.56,Construction,Semi-Urban,260.24,Independent House,43.64,42.89,4,Approved,05-12-2019
116,25,Female,Married,3,Graduate,Unemployed,45.39,612,6.02,10,7.22,20.26,Home Purchase,Rural,279.11,Apartment,47.83,8.1,11,Approved,27-09-2021
117,48,Other,Divorced,3,Graduate,Self-Employed,15.05,481,67.19,10,10,6.63,Home Purchase,Rural,46.92,Independent House,28.1,20.57,17,Approved,10-05-2025
118,35,Female,Widowed,2,Doctorate,Unemployed,44.34,725,125.04,10,8.73,29.49,Home Purchase,Rural,225.79,Apartment,28.27,25.88,11,Approved,01-03-2019
119,53,Female,Single,3,Postgraduate,Self-Employed,6.26,588,80.89,30,7.52,15.1,Construction,Urban,243.76,Apartment,27.18,8.68,5,Rejected,02-05-2020
120,25,Female,Married,0,Graduate,Self-Employed,24.19,734,99.39,25,6.78,17.81,Construction,Semi-Urban,294.08,Plot,39.31,14.06,6,Rejected,23-03-2021
121,24,Female,Widowed,4,Postgraduate,Self-Employed,9.76,680,70.43,15,9.88,18.95,Refinance,Urban,55.42,Plot,45.46,29.24,19,Rejected,19-06-2025
122,43,Male,Divorced,1,Postgraduate,Unemployed,23.17,803,32.07,25,10.07,19.44,Home Purchase,Rural,203.52,Plot,45.75,28.99,9,Approved,30-08-2024
123,27,Other,Single,2,Postgraduate,Self-Employed,10.11,785,25.4,10,6.65,14.09,Construction,Urban,148.89,Independent House,48.39,43.56,8,Rejected,26-02-2021
124,41,Female,Single,1,Doctorate,Self-Employed,49.03,546,23.82,30,9.02,18.18,Home Purchase,Semi-Urban,86.63,Independent House,36.57,13.43,8,Rejected,28-12-2021
125,26,Other,Widowed,3,High School,Unemployed,45.26,663,71.59,30,7.64,25.48,Refinance,Semi-Urban,95.97,Independent House,5.03,15.79,19,Rejected,12-06-2024
126,38,Female,Divorced,0,Postgraduate,Self-Employed,37.43,588,23.31,15,7.96,22.16,Construction,Rural,75.13,Apartment,41.85,17.57,2,Approved,29-04-2023
127,58,Other,Divorced,4,Postgraduate,Salaried,16.59,601,115.09,25,10.42,24.15,Construction,Urban,272.69,Plot,45.36,35.18,1,Approved,10-02-2025
128,34,Male,Widowed,2,Postgraduate,Self-Employed,40.51,806,66.27,10,8.4,5.68,Refinance,Rural,64.41,Apartment,14.61,45.98,9,Approved,20-05-2024
129,40,Male,Divorced,0,Postgraduate,Unemployed,27.57,697,36.67,30,8.93,7.41,Refinance,Urban,33.35,Apartment,41.23,8.34,8,Approved,19-03-2024
130,61,Other,Widowed,3,Doctorate,Self-Employed,34.05,426,95.8,30,10.27,12.13,Construction,Rural,298.77,Independent House,28.67,34.65,15,Rejected,10-06-2023
131,64,Male,Single,4,High School,Salaried,3.57,334,125.25,10,6.61,22.36,Refinance,Semi-Urban,238.95,Apartment,17.04,12.42,7,Rejected,23-04-2022
132,40,Male,Single,2,Doctorate,Unemployed,26.59,839,38.96,25,8.69,21.31,Refinance,Semi-Urban,157.68,Apartment,25.31,33.53,5,Rejected,21-04-2023
133,32,Female,Married,2,Doctorate,Unemployed,15.29,748,70.32,30,8.67,9.9,Construction,Urban,158.06,Apartment,25.83,5.25,13,Approved,05-03-2021
134,63,Male,Married,4,High School,Salaried,12.49,662,11.44,10,8.29,7.18,Home Purchase,Urban,60.74,Plot,43.99,30.87,6,Approved,27-09-2025
135,39,Other,Single,4,High School,Unemployed,21.73,755,102.29,30,9.24,12.73,Home Purchase,Semi-Urban,287.87,Independent House,36.07,43.83,13,Approved,14-10-2024
136,43,Male,Divorced,3,Graduate,Self-Employed,7.5,719,58.51,20,9.18,18.74,Home Purchase,Urban,139.14,Plot,17.74,47.38,8,Approved,17-01-2023
137,31,Male,Married,1,Postgraduate,Self-Employed,7.56,850,131.69,25,9.37,23.52,Home Purchase,Semi-Urban,253.83,Independent House,7.11,5.53,11,Approved,31-01-2023
138,35,Female,Single,4,Graduate,Salaried,12.37,578,123.42,25,8.24,26.3,Construction,Urban,104.35,Apartment,43.09,31.56,11,Rejected,14-01-2022
139,23,Other,Single,2,Doctorate,Self-Employed,19.76,417,107.31,10,8.87,17.79,Home Purchase,Rural,68.5,Apartment,17.29,11.95,9,Approved,05-07-2023
140,55,Other,Divorced,2,Graduate,Unemployed,16.94,624,82.01,25,9.11,18.99,Construction,Urban,67.95,Apartment,11.42,48.99,2,Rejected,24-03-2021
141,63,Other,Married,2,Graduate,Self-Employed,38.3,544,46.94,30,10.26,14.26,Home Purchase,Rural,269.87,Independent House,41.34,49.28,12,Approved,09-05-2025
142,37,Male,Widowed,3,High School,Salaried,24.94,664,115.48,20,10.27,13.9,Refinance,Urban,82.55,Apartment,25.37,35.48,11,Rejected,15-04-2020
143,21,Other,Widowed,4,Postgraduate,Salaried,32.06,438,35.06,30,10.97,27.01,Refinance,Urban,243.98,Plot,10.07,22.78,4,Approved,21-01-2024
144,39,Other,Widowed,2,High School,Self-Employed,36.66,439,10.51,20,8.97,6.44,Home Purchase,Semi-Urban,39.3,Independent House,7.44,25.82,15,Approved,13-05-2020
145,26,Other,Divorced,1,Doctorate,Self-Employed,27.08,515,68.98,20,8.8,17.31,Refinance,Urban,263.71,Independent House,22.8,24.96,14,Rejected,20-09-2025
146,27,Male,Divorced,0,Doctorate,Salaried,23.08,446,50.23,20,8.52,17.76,Refinance,Urban,280.12,Independent House,23.84,35.95,10,Rejected,08-01-2023
147,41,Female,Single,2,Doctorate,Self-Employed,47.96,602,148.63,15,9.55,25.71,Construction,Semi-Urban,33.87,Apartment,17.09,33.48,14,Approved,03-11-2022
148,28,Male,Widowed,0,Postgraduate,Salaried,42.6,493,20.14,10,9.75,12.01,Refinance,Rural,47.82,Plot,27.46,33.44,12,Rejected,06-08-2021
149,39,Other,Married,1,Doctorate,Salaried,26.03,679,107.53,25,7.15,22.75,Construction,Rural,92.74,Plot,20.07,18.16,6,Approved,26-06-2024
150,37,Male,Married,4,High School,Salaried,12.3,612,115.14,10,9.74,26.67,Refinance,Semi-Urban,251.79,Independent House,3.59,35.72,13,Approved,08-10-2020
151,44,Other,Married,3,High School,Unemployed,39.22,765,63.21,15,7.1,20.74,Construction,Urban,232.13,Plot,5.14,13.51,17,Approved,30-05-2024
152,37,Other,Widowed,1,Doctorate,Salaried,18.34,456,139.98,10,8.12,11.76,Construction,Semi-Urban,114.6,Independent House,44.59,24.52,16,Approved,19-06-2023
153,57,Male,Married,1,High School,Salaried,46.65,474,29.21,30,10.44,9.57,Construction,Urban,212.55,Apartment,14.9,9.74,18,Approved,09-08-2021
154,62,Male,Single,3,Doctorate,Salaried,24.85,795,35.29,20,8.16,6.31,Home Purchase,Urban,142.46,Apartment,20.79,37.38,8,Approved,22-01-2022
155,42,Male,Widowed,4,Postgraduate,Salaried,3.73,562,23.23,20,7.92,21.12,Home Purchase,Semi-Urban,83.79,Apartment,14.37,21.55,16,Approved,01-08-2022
156,64,Other,Single,1,Graduate,Salaried,20.2,697,64.98,10,9.81,13.26,Refinance,Urban,155.31,Independent House,25.95,35.49,19,Approved,02-10-2025
157,37,Female,Widowed,2,Graduate,Salaried,5.67,474,122.04,15,7.32,15.89,Home Purchase,Urban,238.75,Independent House,11.16,33.88,11,Approved,15-02-2025
158,56,Male,Divorced,3,Postgraduate,Unemployed,3.13,630,125.32,10,7.81,10.18,Construction,Rural,221.74,Apartment,12.33,26.78,14,Approved,26-05-2021
159,24,Female,Widowed,0,Postgraduate,Salaried,27.48,733,98.47,25,10,10.12,Refinance,Rural,68.02,Independent House,42.36,19.18,18,Approved,08-11-2024
160,60,Other,Divorced,3,Postgraduate,Unemployed,40.87,401,47.12,25,8.92,6.52,Refinance,Semi-Urban,216.33,Independent House,0.39,33.39,10,Approved,24-08-2022
